src,dst,proto,sport,dport,bytes,pkts,duration,iat_mean,iat_std,label
192.168.15.2,192.168.15.1,DNS,35147,53,174,2,4.0531158447265625e-06,4.0531158447265625e-06,,0
192.168.15.1,192.168.15.2,DNS,53,35147,218,2,0.00020194053649902344,0.00020194053649902344,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:845::200a,TCP,50110,443,918,11,0.2009110450744629,0.02009110450744629,0.033015548505830376,0
2800:3f0:4001:845::200a,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,50110,3370,11,0.18199586868286133,0.018199586868286134,0.02315095178343262,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:845::200a,TLS,50110,443,2032,7,0.16356301307678223,0.027260502179463703,0.035027725875025804,0
2800:3f0:4001:845::200a,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,50110,3993,8,0.09044694900512695,0.012920992715018136,0.02395205425015939,0
192.168.15.2,192.168.15.1,DNS,46952,53,156,2,5.0067901611328125e-06,5.0067901611328125e-06,,0
192.168.15.1,192.168.15.2,DNS,53,46952,252,2,0.00023889541625976562,0.00023889541625976562,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:817::2001,QUIC,41204,443,2227,8,0.12768888473510742,0.018241269247872487,0.018658795035830664,0
2800:3f0:4001:817::2001,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,41204,14794,14,0.1020970344543457,0.00785361803494967,0.016070269609483247,0
192.168.15.2,192.168.15.1,DNS,46051,53,150,2,5.9604644775390625e-06,5.9604644775390625e-06,,0
192.168.15.2,192.168.15.1,DNS,37812,53,170,2,3.0994415283203125e-06,3.0994415283203125e-06,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:80d::2004,TCP,39720,443,868,10,147.09299087524414,16.343665652804905,25.932203771867215,0
192.168.15.1,192.168.15.2,DNS,53,46051,194,2,0.00026297569274902344,0.00026297569274902344,,0
192.168.15.1,192.168.15.2,DNS,53,37812,214,2,0.000186920166015625,0.000186920166015625,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:83b::2003,TCP,40376,443,782,9,147.09022998809814,18.386278748512268,26.936318804100207,0
2800:3f0:4001:80d::2004,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,39720,3370,11,147.0745599269867,14.70745599269867,31.73730862378816,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:80d::2004,TLS,39720,443,1678,8,147.0032501220703,21.000464303152903,27.963424150216696,0
2800:3f0:4001:83b::2003,2804:1b0:1900:9955:2347:6deb:7171:e846,TCP,443,40376,868,10,147.06990718841553,16.341100798712837,33.215688767543696,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:83b::2003,TLS,40376,443,2361,9,147.000314950943,18.375039368867874,26.939760057221086,0
2800:3f0:4001:80d::2004,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,39720,2922,6,117.74669694900513,23.549339389801027,32.23499491198573,0
2800:3f0:4001:83b::2003,2804:1b0:1900:9955:2347:6deb:7171:e846,TLS,443,40376,1369,5,117.74226403236389,29.435566008090973,33.989447822792435,0
192.168.15.2,192.168.15.1,DNS,57302,53,170,2,4.0531158447265625e-06,4.0531158447265625e-06,,0
192.168.15.2,192.168.15.1,DNS,50744,53,186,2,3.814697265625e-06,3.814697265625e-06,,0
192.168.15.1,192.168.15.2,DNS,53,57302,214,2,0.0002238750457763672,0.0002238750457763672,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:83b::2001,QUIC,36915,443,3547,13,0.660297155380249,0.05502476294835409,0.09930007413634202,0
192.168.15.1,192.168.15.2,DNS,53,50744,290,2,0.00017499923706054688,0.00017499923706054688,,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2804:7f4:6800:cace::c,QUIC,43004,443,59593,346,19.887964010238647,0.05764627249344535,0.6115335754940225,0
2804:7f4:6800:cace::c,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,43004,2385471,1737,19.887377977371216,0.011455862890190793,0.2734125946949649,0
2800:3f0:4001:83b::2001,2804:1b0:1900:9955:2347:6deb:7171:e846,QUIC,443,36915,8769,16,0.6868209838867188,0.04578806559244792,0.08122910772186995,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:81c::2003,QUIC,49687,443,2124,7,0.1138908863067627,0.01898181438446045,0.01772448588219058,0
2804:1b0:1900:9955:2347:6deb:7171:e846,2800:3f0:4001:808::2003,QUIC,49854,443,2129,7,0.1258699893951416,0.020978331565856934,0.018397930451223586,0
